COUNTY,Main ID,area,lon,lat,pwcr_per_day,PD_E,pv_kw,Annual_elec_demand,total_supplied,utilisation_1,utilisation_2,cost,tier3_hh
Marsabit,601,10000,37.58083577,3.472879535,64149.290558640634,5.141890201957514,9.82069377296246,3240.5853567681706,0.0,18.458982474388804,18.458982474388804,5702.356233970883,0.0
Marsabit,602,9100,37.57854691,3.954731808,59831.899730203004,4.81463066837336,9.23677661240145,2860.996760261299,143.26391245874999,17.590674128907008,18.471524059776545,5339.425411226057,0.0
Marsabit,603,300,37.554697,4.014914641,57455.717488762035,4.634214943580207,8.914968104981204,2553.9318080600387,895.1850959619946,16.385691217375502,22.129081279137512,5139.34437243045,2.0
Machakos,604,10000,37.58083577,-1.089043865,32422.86463100186,0.7129196672227317,1.8829167109242095,369.08942462937887,2638.1262693289855,12.273460309843973,100.0,790.6279109500094,7.0
Machakos,605,10000,37.58083577,-0.991981665,31595.402510706597,0.6960065431621356,1.9089554630300383,322.82145242614655,2705.132764304568,10.661371649624783,100.00000000000001,771.8712563668084,7.0
Machakos,608,10000,37.58083577,-1.477292665,33970.705123621156,0.7445134361134418,1.8772275256972373,418.3709428865245,2589.6237295088695,13.908633107829209,99.99999999999999,825.6654006498069,7.0
Machakos,609,10000,37.58083577,-1.380230465,34394.519928192916,0.2455001220881871,0.6210857642581474,138.23196870172177,852.0618121571929,13.958682905372646,100.00000000000001,272.25963539579953,2.0
Machakos,610,10000,37.58083577,-1.283168265,34681.88502607439,0.24742926189354403,0.6220289608154804,139.56715895922537,852.7971580598306,14.064104942675534,100.0,274.3990514399403,2.0
Machakos,611,10000,37.58083577,-1.186106065,33494.653512719204,1.4227837512961339,3.6277443575696937,784.2414596360026,4943.094114982248,13.562824569973115,99.04965708898803,1577.8671801874125,14.0
Embu,616,10000,37.58083577,-0.700795065,24731.221819865226,0.5549715374158053,1.6017266399560093,195.18932828793143,2363.089943624002,7.629711518635587,100.0,615.4634349941281,6.0
Embu,617,10000,37.58083577,-0.603732865,12315.383752231637,0.29469109663667714,0.8781272312879755,70.7258631928025,1328.3324998749129,5.0552475193187725,99.99999999999999,326.81242617007496,4.0
Embu,618,10000,37.58083577,-0.506670665,0.0,,,0.0,0.0,,,,0.0
Samburu,623,10000,37.58083577,0.755137935,47788.762682679386,1.0245248775022275,2.014943812755646,371.31419554880085,762.0924187264354,10.352147614821375,31.599095103947064,1136.1980891499704,2.0
Meru,626,10000,37.58083577,0.269826935,36327.30010833802,0.2647280909187384,0.4745519090782125,91.20045503209528,780.7066263554744,10.459882363491888,100.0,342.8228777397662,2.0
Isiolo,627,10000,37.58083577,0.366889135,42603.11560639058,0.2912454896758487,0.524001467905548,97.50203104300756,855.8063565145935,10.227753402318225,100.0,377.162909130224,2.0
Samburu,628,10000,37.58083577,1.240448935,52089.31595969348,1.1110832018714285,2.2132624672808396,469.2052294663022,790.1731436807722,12.093678947828863,32.460247163066995,1232.1912708754141,2.0
Samburu,632,10000,37.58083577,0.852200135,44097.756712639144,0.9500378072413824,1.9339139556314202,343.3431028894471,883.5568888367329,10.260542722393845,36.66495606077324,1053.5919282306932,2.0
Samburu,633,10000,37.58083577,0.949262335,46266.87613557387,0.9938355949125529,2.0127753160977577,389.3052878615589,673.5948328085112,11.060356762224693,30.1975208243337,1102.1636747580212,2.0
Samburu,634,10000,37.58083577,1.046324535,47664.496434769,1.0220201994927676,2.018875677271143,456.2554746210355,818.598760748333,12.716012937988658,35.530670540383966,1133.4204012374792,2.0
Samburu,635,10000,37.58083577,1.143386735,51794.411189468425,1.1051548744518533,2.175114054677938,477.2511956230202,861.0064776728493,12.367455613779047,34.67951998041586,1225.6167557671054,2.0
Makueni,638,10000,37.49677744,-1.622885965,26823.56894155858,0.5981145393307599,1.5767424813481272,319.42434556010164,2184.252982244459,12.758207378112914,100.00000000000001,663.3090241178127,6.0
Makueni,639,10000,37.49677744,-1.525823765,32889.37725092841,0.23538733588288485,0.6122199853374083,131.46867473882264,851.950482457074,13.368528950939906,100.00000000000001,261.0445554941193,2.0
Kajiado,640,10000,37.49677744,-2.205259165,34920.92648373002,1.4789493205342077,3.882555227438683,789.2627973598752,965.8130450006774,12.856356770154525,28.58855284139084,1640.1547964724364,3.0
Kajiado,641,10000,37.49677744,-2.108196965,32593.935210951546,1.3872665144778995,3.733973968393419,725.8322217663713,1583.8634322689365,12.411468881462769,39.49496161240438,1538.4785645559905,4.0
Makueni,643,10000,37.49677744,-1.914072565,27399.90386918326,0.6099729403696766,1.6545452772157045,321.80792560408037,2289.8215908177062,12.32211244284725,100.00000000000001,676.4599908699714,6.0
Machakos,644,10000,37.49677744,-1.040512765,31352.85489991246,0.22504830556130656,0.6126772580060695,98.17656876987303,876.8461339124642,10.069157210368976,99.99999999999999,249.57857086748896,2.0
Machakos,645,10000,37.49677744,-0.943450565,30717.03670131121,0.2207651596431389,0.5997176977452294,74.4284384952204,899.2818066039149,7.643797409941262,100.00000000000003,244.82856204424104,2.0
Embu,646,10000,37.49677744,-0.846388365,32759.41081961734,0.7197938453724106,1.884965484488341,298.7195947585023,2782.280315035926,9.695540522701071,99.99999999999999,798.2513745180034,8.0
Embu,647,10000,37.49677744,-0.749326165,29249.959922713097,0.21087088126066791,0.5914942431027557,65.35355438207705,878.5864658099931,6.923485919028956,100.00000000000001,233.8558073180807,2.0
Machakos,648,10000,37.49677744,-1.428761565,33741.63896984538,0.7398413250345508,1.8950735190696162,409.6365355237523,2625.0430839165783,13.49851011947348,100.0,820.4840294633168,7.0
Machakos,649,10000,37.49677744,-1.331699365,32931.58497296875,0.7233095771620202,1.8673877657728177,391.48485664408486,0.0,13.232610407867368,13.232610407867368,802.1503210726803,0.0
Machakos,650,10000,37.49677744,-1.234637165,32606.662501991217,0.23348619109726723,0.5935510619419007,129.3315162474908,818.7052880971344,13.642035378246446,99.99999999999999,258.93618592686937,2.0
Machakos,651,10000,37.49677744,-1.137574965,31629.302463522636,0.6966997814864498,1.8328252816534414,334.2966037267135,0.0,11.457596371825929,11.457596371825929,772.6400576684729,0.0
Embu,656,10000,37.49677744,-0.652263965,18859.14107590561,0.14021287604649266,0.4090006762197873,33.65109025115824,616.5647009955561,5.17537265384406,100.0,155.49607953556037,2.0
Embu,657,10000,37.49677744,-0.555201765,0.0,,,0.0,0.0,,,,0.0
Embu,658,10000,37.49677744,-0.458139565,0.0,,,0.0,0.0,,,,0.0
Samburu,663,10000,37.49677744,0.803669035,39881.16232424766,0.8646892238420902,1.7090900016881956,282.40567815801757,1185.7468061273128,9.392215153184381,48.82764433077138,958.940349240878,3.0
Meru,665,10000,37.49677744,0.221295835,0.0,,,0.0,0.0,,,,0.0
Isiolo,666,10000,37.49677744,0.318358035,16259.71518262299,0.12231901335828084,0.22679581110307634,29.356563205987403,383.1952474505965,7.1158488334509755,100.0,135.65178581433346,1.0
Isiolo,667,10000,37.49677744,0.415420235,21519.122619323844,0.15841700068248082,0.291910580147455,38.0200801637954,497.0810371565063,7.105214123676982,100.00000000000003,175.68445375687122,1.0
Kajiado,668,10000,37.49677744,-2.593507965,29642.758119592138,0.6560258825712469,1.5776278954252156,379.67915204172505,1058.4068910893482,14.625415123867095,55.39573413901851,727.5327037715128,3.0
Kajiado,669,10000,37.49677744,-2.496445765,34098.29956069522,1.446565915856582,3.5335487645990504,832.9589578417274,1290.5127438797426,14.476805346611908,36.90588377188886,1604.2416006849494,4.0
Kajiado,670,10000,37.49677744,-2.399383565,36934.65967048507,1.5581008215074017,3.9261417476085927,869.9836241443905,908.6131990646799,13.831320327209134,28.276787875122473,1727.9338110517085,2.0
Kajiado,671,10000,37.49677744,-2.302321365,34394.6863189455,1.4582368509149783,3.731029022407627,842.6330530659568,1193.9303024583057,14.176483566037884,34.26320251233343,1617.184667664711,3.0
Kajiado,674,10000,37.49677744,-2.787632365,17982.756468045896,0.4146202558955969,1.0404719119347845,230.2577340505081,1460.0762047470594,13.622026320686892,100.0,459.81386378821696,4.0
Kajiado,675,10000,37.49677744,-2.690570165,28979.551335594668,1.2443370293993272,3.0110678374770026,702.7287861945523,2829.5163905504032,14.221565163297017,71.48427094590737,1379.9697656038538,8.0
Marsabit,676,9700,37.49603862,4.005583935,58604.20725040481,4.721443879748694,9.153946064655315,2548.2840593867763,692.2791313012501,15.950755975797499,20.284015233080055,5236.081262641302,2.0
Marsabit,677,900,37.47347637,4.068848156,56018.37079384188,4.524971099623851,8.835085617466493,2203.780069804586,143.914321745,14.386456070206728,15.325940502444846,5018.192949482851,0.0
Samburu,679,10000,37.49677744,1.386042235,49925.13285127152,1.0675532272474313,2.134204735209197,441.94078240386165,402.64828915551925,11.831786984929002,22.611622150221894,1183.9165290174012,1.0
Marsabit,686,10000,37.49677744,2.065477635,63728.59547655191,1.3443207265577175,2.467419582128617,602.1811099337566,3976.534911303326,13.151746191305802,100.0,1490.8516857525087,11.0
Marsabit,687,10000,37.49677744,2.162539835,66317.43181201295,2.699345820917226,4.967719106123293,1256.5245785195507,101.81468172749997,13.800443011748667,14.918676380963918,2993.5745153972034,0.0
Marsabit,688,10000,37.49677744,2.259602035,67049.24249337395,2.7275336938220507,5.05386701780463,1297.9690551380563,95.45126406250002,14.252604488056503,15.300725865975759,3024.8348664486543,0.0
Marsabit,689,10000,37.49677744,2.356664235,66099.67949555915,2.6909567481621104,5.044658506119041,1284.0924534664869,95.45126406250002,14.404304032527143,15.475028359372638,2984.2710337117805,0.0
Marsabit,693,10000,37.49677744,1.968415435,58431.83091329943,1.2383486758177575,2.277977309719314,541.66119025644,2625.1072634613533,12.76933082258688,74.65462682476841,1373.328681481893,7.0
